伍佰,#genre#
不爱我的我不爱,http://em.21dtv.com/songs/60088318.mkv
爸爸,http://em.21dtv.com/songs/60102458.mkv
背包客,http://em.21dtv.com/songs/60071779.mkv
拜访春天,http://em.21dtv.com/songs/60009816.mkv
不该思念的人,http://em.21dtv.com/songs/60153315.mkv
别怪我把你删除,http://em.21dtv.com/songs/60153766.mkv
别怪我把你删除(DJ版)(无损),http://em.21dtv.com/songs/50000252.mkv
不换,http://em.21dtv.com/songs/60010495.mkv
变幻的世界在转,http://em.21dtv.com/songs/60103471.mkv
碧海情天,http://em.21dtv.com/songs/60010437.mkv
边界,http://em.21dtv.com/songs/60099360.mkv
北京北京,http://em.21dtv.com/songs/60155807.mkv
蹩脚的爱情,http://em.21dtv.com/songs/60095316.mkv
不经意间,http://em.21dtv.com/songs/60065859.mkv
北极之光,http://em.21dtv.com/songs/60010188.mkv
不留,http://em.21dtv.com/songs/60011234.mkv
百年孤寂,http://em.21dtv.com/songs/60009790.mkv
把你删除,http://em.21dtv.com/songs/60063951.mkv
不确定,http://em.21dtv.com/songs/60011308.mkv
把锁匙投进信箱,http://em.21dtv.com/songs/60093000.mkv
半途而废,http://em.21dtv.com/songs/60009903.mkv
不完美也要精彩,http://em.21dtv.com/songs/60011431.mkv
半袖(演唱会),http://em.21dtv.com/songs/60009904.mkv
不相识的约会,http://em.21dtv.com/songs/60011443.mkv
不需要抱着你,http://em.21dtv.com/songs/60091735.mkv
bye bye my love,http://em.21dtv.com/songs/60000756.mkv
哔一声之后,http://em.21dtv.com/songs/60010433.mkv
边走边唱,http://em.21dtv.com/songs/60102467.mkv
不再儿戏,http://em.21dtv.com/songs/60011731.mkv
尘埃,http://em.21dtv.com/songs/60127210.mkv
城堡,http://em.21dtv.com/songs/60098656.mkv
匆匆那年,http://em.21dtv.com/songs/50001177.mkv
偿还,http://em.21dtv.com/songs/60012292.mkv
翠湖寒,http://em.21dtv.com/songs/60091744.mkv
乘客,http://em.21dtv.com/songs/60012642.mkv
出路(演唱会),http://em.21dtv.com/songs/60012934.mkv
初恋的地方,http://em.21dtv.com/songs/60013008.mkv
初恋小镇,http://em.21dtv.com/songs/60148251.mkv
沧浪之歌,http://em.21dtv.com/songs/60107022.mkv
催眠,http://em.21dtv.com/songs/60013599.mkv
从明日开始(演唱会),http://em.21dtv.com/songs/60013551.mkv
春泥,http://em.21dtv.com/songs/60112823.mkv
从前,http://em.21dtv.com/songs/60013556.mkv
传奇(演唱会),http://em.21dtv.com/songs/60013122.mkv
尘世之歌第三乐章青春,http://em.21dtv.com/songs/60155087.mkv
窗台,http://em.21dtv.com/songs/60102465.mkv
尘土(演唱会),http://em.21dtv.com/songs/60012491.mkv
春天里,http://em.21dtv.com/songs/60013343.mkv
春天里(演唱会),http://em.21dtv.com/songs/60063007.mkv
错误,http://em.21dtv.com/songs/60013693.mkv
潮汐,http://em.21dtv.com/songs/60011881.mkv
初夏的房间,http://em.21dtv.com/songs/60013032.mkv
丑小鸭,http://em.21dtv.com/songs/60087927.mkv
春芽,http://em.21dtv.com/songs/60096752.mkv
存在,http://em.21dtv.com/songs/60155556.mkv
渡,http://em.21dtv.com/songs/60015881.mkv
读爱,http://em.21dtv.com/songs/60013726.mkv
对爱Say Goodbye,http://em.21dtv.com/songs/60131658.mkv
东北偏北,http://em.21dtv.com/songs/60101414.mkv
打错了(演唱会),http://em.21dtv.com/songs/60013754.mkv
多愁善感,http://em.21dtv.com/songs/60016111.mkv
等等,http://em.21dtv.com/songs/60153303.mkv
多得他(演唱会),http://em.21dtv.com/songs/60016115.mkv
di dar,http://em.21dtv.com/songs/60001222.mkv
di dar(演唱会),http://em.21dtv.com/songs/60001221.mkv
堕落,http://em.21dtv.com/songs/60016259.mkv
堕落(演唱会),http://em.21dtv.com/songs/60016258.mkv
读乐乐,http://em.21dtv.com/songs/60109123.mkv
多么完美的生活,http://em.21dtv.com/songs/60095204.mkv
的青春,http://em.21dtv.com/songs/60152505.mkv
多情痴心人,http://em.21dtv.com/songs/60153319.mkv
大桥上,http://em.21dtv.com/songs/60102449.mkv
多事的秋,http://em.21dtv.com/songs/60016202.mkv
当时的月亮,http://em.21dtv.com/songs/60014591.mkv
当我想你的时候(演唱会),http://em.21dtv.com/songs/60014624.mkv
地心,http://em.21dtv.com/songs/60015667.mkv
单行道,http://em.21dtv.com/songs/60014341.mkv
多余的温柔,http://em.21dtv.com/songs/60153318.mkv
但愿人长久,http://em.21dtv.com/songs/60014437.mkv
但愿人长久(演唱会),http://em.21dtv.com/songs/60014429.mkv
带着梦飞翔,http://em.21dtv.com/songs/60014287.mkv
儿时,http://em.21dtv.com/songs/60152503.mkv
everything,http://em.21dtv.com/songs/60001579.mkv
eyes on me,http://em.21dtv.com/songs/60001599.mkv
飞,http://em.21dtv.com/songs/60016777.mkv
飞得更高(演唱会),http://em.21dtv.com/songs/60016794.mkv
